Timestamp,AccX,AccY,AccZ
761715504,109,-515,16101
761717380,-234,-40,15155
761719264,3902,-58,15219
761721172,1174,-1632,15084
761723088,-890,-2362,12956
761724988,373,-877,13843
761726896,1952,2304,14840
761728800,1803,3569,17140
761730716,1559,2421,12471
761732620,-2432,-669,17252
761734528,161,-1411,16937
761736420,28,-2182,15903
761738316,380,-1702,15408
761740232,1244,-2160,18180
761742140,-177,-1980,17072
761744052,-499,-2334,16239
761745972,1098,-1528,12693
761747876,4679,573,13751
761749788,-1479,2137,16948
761751716,1513,2763,15191
761753628,-1265,2065,18363
761755516,-204,800,11333
761757428,-2380,-1690,15576
761759344,359,-2300,14532
761761256,-2795,-1603,19147
761763176,3517,-231,13148
761765084,2763,451,17080
761766976,1236,-382,12323
761768856,54,-405,13748
761770740,-856,634,16759
761772648,2578,2410,14192
761774564,3316,3142,15583
761776448,180,872,18223
761778364,-3604,-1078,17407
761780292,-1062,-2636,16164
761782208,695,-2845,19347
761784112,790,-2088,14548
761786024,-1867,-1203,20856
761787932,164,-395,19443
761789816,418,476,16671
761791716,2077,651,12323
761793612,-2359,669,17991
761795512,-714,2598,16624
761797428,-2768,1864,15715
761799332,178,1886,14163
761801216,-560,-898,16092
761803116,-388,-3534,16591
761805044,-1149,-3255,14575
761806956,237,-1197,17051
761808864,3349,1435,15472
761810776,3755,2511,15018
761812664,513,921,16509
761814536,-627,85,18491
761816420,-155,512,15792
761818336,-1125,2299,15867
761820256,2136,2526,18926
761822156,-860,-1348,17256
761824072,-846,-3293,21107
761825996,-3225,-3449,18552
761827924,2541,-1879,16994
761829824,-56,-1264,18115
761831724,4961,359,14108
761833624,1621,894,18196
761835528,3237,1473,12847
761837412,-489,293,16628
761839308,500,1060,14316
761841192,-2038,26,17964
761843092,-1359,567,16046
761845012,-2215,-1595,18383
761846932,567,-2921,16077
761848824,672,-3034,18776
761850736,-1275,-1149,19360
761852640,118,686,17420
761854544,3021,1439,10436
761856456,3609,3097,17540
761858368,1384,1940,12555
761860272,-1024,481,18516
761862164,457,-159,13447
761864048,1507,787,18159
761865940,-3209,661,11299
761867844,696,-1018,14576
761869760,-2336,-3023,20742
761871680,-557,-1736,15838
761873600,2646,-1220,16712
761875508,4520,806,12587
761877408,2310,1306,17499
761879316,1379,2019,13343
761881200,942,704,14798
761883096,2247,187,10940
761884988,-1100,-730,15194
761886908,-2746,-688,18456
761888832,-2285,-2066,20311
761890748,696,-2924,17340
761892652,-156,-2536,18508
761894560,-384,-1452,18483
761896460,1764,39,17411
761898356,938,1482,20319
761900264,3410,1654,14195
761902176,2167,1927,17739
761904088,2097,1859,15063
761905992,-1173,-107,14432
761907892,548,-900,13008
761909800,-4200,-1922,18700
761911708,130,-1280,14167
